trade_date,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-07-24,600000,0.9933971101903013,2,1,8.48,769923504.0,8.84,8.86,8.46,728864.0,-0.04719101123595504,-0.02863688430698741,0.05210918114143914,0.034558064726353685,928018133.1,2020
2020-07-24,2230,0.9802165621262361,3,1,35.35,2130151504.0,36.4,37.73,35.08,576864.0,-0.034944034944034974,-0.03520742358078599,-0.01750972762645897,0.025895476702854362,2335990079.2,2020
2020-07-27,1,0.9969248507793431,1,1,10.98,2497551472.0,11.41,11.42,10.84,1880653.0,-0.02313167259786475,-0.11948676824378512,0.041745730550284854,0.04139330645055501,3204981673.6,2020
2020-07-27,600000,0.9637436921345803,2,1,8.43,465608560.0,8.61,8.61,8.38,446559.0,-0.005896226415094463,-0.061247216035634766,0.04981320049813198,0.03458403039606633,936537378.7,2020
2020-07-27,2230,0.9241922140174701,3,1,35.35,1031759424.0,35.41,35.75,34.81,287607.0,0.0,-0.048964218455743835,-0.0067434672660859896,0.025782253939867893,2312004939.2,2020
2020-07-28,1,0.9684678816149922,1,1,11.08,1618089552.0,11.08,11.17,10.92,1217006.0,0.009107468123861429,-0.09403107113654952,0.05123339658444026,0.04141059217992679,3225927071.2,2020
2020-07-28,600000,0.9419396443352436,2,1,8.45,339999712.0,8.52,8.6,8.41,325993.0,0.0023724792408066353,-0.06111111111111123,0.05099502487562191,0.03458197107556243,941407268.8,2020
2020-07-28,2230,0.9260625039357977,3,1,35.4,860617312.0,35.71,35.85,35.09,239370.0,0.0014144271570013522,-0.05322278684140147,-0.03882704317132768,0.024452544925732296,2243925836.8,2020
2020-07-29,1,0.942036825203998,1,1,11.28,2043847472.0,11.09,11.37,10.95,1519580.0,0.018050541516245522,-0.07160493827160497,0.03867403314917128,0.04107717358468682,3217979402.4,2020
2020-07-29,600000,0.9011627489514143,2,1,8.57,474093216.0,8.41,8.6,8.38,452566.0,0.014201183431952868,-0.056167400881057206,0.045121951219512235,0.034458965393433225,945570318.4,2020
2020-07-29,2230,0.6025827917824895,3,1,36.56,1323284320.0,35.42,36.57,35.26,360868.0,0.03276836158192098,-0.022982362373062504,-0.0016384489350080855,0.02560637852459467,2230063346.4,2020
2020-07-30,1,0.9836606340945055,1,1,11.11,1294444928.0,11.24,11.25,11.11,964068.0,-0.01507092198581561,-0.05446808510638301,-0.0053715308863026,0.04078809396895606,3111026094.4,2020
2020-07-30,2230,0.9713226974898727,2,1,35.63,1457402224.0,35.8,36.2,35.56,400345.0,-0.025437636761487914,-0.02730002730002734,-0.04732620320855607,0.025714898578230477,2192517391.2,2020
2020-07-30,600000,0.9711389226092071,3,1,8.46,422561056.0,8.57,8.59,8.46,404435.0,-0.012835472578763052,-0.04943820224719098,-0.005875440658049236,0.03359753282343378,933532955.2,2020
2020-07-31,1,0.9440122935208997,1,1,11.08,1559068288.0,11.02,11.27,10.99,1165822.0,-0.0027002700270026825,-0.014234875444839923,-0.07589658048373649,0.03700149001957888,2924933608.0,2020
2020-07-31,600000,0.9318358211330829,2,1,8.42,679850128.0,8.47,8.58,8.37,653684.0,-0.004728132387706974,-0.007075471698113289,-0.026589595375722586,0.03339218143243171,921717565.6,2020
2020-07-31,2230,0.7369470037936078,3,1,36.02,1123470800.0,35.68,36.4,35.53,306984.0,0.010945832163906877,0.018953323903819097,-0.04023447908339994,0.02585410061909965,2170275768.0,2020
2020-08-03,600000,0.7094736156794754,1,1,8.47,586201744.0,8.46,8.54,8.43,562720.0,0.005938242280285166,0.004744958481613493,-0.12318840579710144,0.018900638605263385,862206753.6,2020
