trade_date,engine,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-05-21,u2,2230,0.9875915669304909,1,1,32.17,1358138912.0,33.85,33.93,32.12,405893.0,-0.042274486454301874,-0.030732148237420764,-0.06291872997378378,0.020853586002411256,1046893464.0,2020
2020-05-21,u2,300750,0.9215506263549987,2,1,68.11,2328717776.0,70.53,71.5,67.62,154876.0,-0.014754809778677824,0.10711963589076712,0.11802363755745238,0.03375363825520471,2534703907.2,2020
2020-05-21,u2,600000,0.8448681187850992,3,1,7.79,149140643.0,7.9,7.9,7.79,143617.0,-0.010165184243964398,0.0038659793814432852,0.029062087186261465,0.014168838374511748,232987041.25,2020
2020-05-21,u2,1,0.8234336640192076,4,1,10.93,742797056.0,11.05,11.1,10.89,552312.0,-0.009963768115942018,0.009233610341643494,0.03897338403041828,0.02011527496785662,1125090361.6,2020
2020-05-22,u2,300750,0.9977396298926257,1,1,65.53,2127136880.0,67.65,67.78,64.52,148173.0,-0.037879900161503444,-0.022086255782719055,0.11635434412265755,0.033850522912208386,2515095591.2,2020
2020-05-22,u2,2230,0.9802279880370869,2,1,31.7,729592688.0,32.19,32.43,31.51,223335.0,-0.0146098849860119,-0.03117359413202936,-0.06323877068557926,0.020863265989209477,1035837697.6,2020
2020-05-22,u2,1,0.9628060692382392,3,1,10.45,1119433488.0,10.86,10.87,10.45,856237.0,-0.04391582799634042,-0.028810408921933095,-0.04826958105646639,0.020116935067121207,1037968081.6,2020
2020-05-22,u2,600000,0.9354583661255395,4,1,7.6,243204611.0,7.76,7.8,7.6,237229.0,-0.024390243902439046,-0.01808785529715773,0.014686248331108098,0.015096601247796724,236321867.55,2020
2020-05-25,u2,2230,0.9919152927951649,1,1,30.85,888685392.0,31.72,31.83,30.63,279600.0,-0.02681388012618291,-0.05135301353013533,-0.10709117221418218,0.020701900007095785,1014209921.6,2020
2020-05-25,u2,300750,0.9638883662699138,2,1,66.36,1482241104.0,65.46,66.42,64.27,103782.0,0.012665954524645251,0.02139448976450664,0.12703804347826075,0.033873979887747464,2494007072.0,2020
2020-05-25,u2,1,0.8852308504843481,3,1,10.49,528769360.0,10.5,10.51,10.29,410171.0,0.003827751196172402,-0.02236719478098792,-0.025092936802973975,0.019711875773589297,995995407.2,2020
2020-05-25,u2,600000,0.6514578121736987,4,1,7.73,160438358.0,7.76,7.77,7.59,157220.0,0.017105263157894735,-0.006426735218509005,0.026560424966799445,0.015505021025322682,236425158.7,2020
2020-05-26,u2,2230,0.9566501366578103,1,1,31.5,628701456.0,31.05,31.52,31.05,196149.0,0.021069692058346856,-0.07161803713527848,-0.07380182299323723,0.0213673702852735,1003762925.6,2020
2020-05-26,u2,1,0.882571198649104,2,1,10.57,515451856.0,10.55,10.6,10.47,396212.0,0.007626310772163913,-0.029384756657483968,-0.017657992565055736,0.019807508742412654,979015394.4,2020
2020-05-26,u2,600000,0.8345440831188207,3,1,7.73,147713417.0,7.78,7.78,7.71,143722.0,0.0,-0.010243277848911547,0.027925531914893664,0.015495452676687343,235331875.8,2020
2020-05-26,u2,300750,0.45185972338166014,4,1,69.54,2596292608.0,67.17,69.75,66.86,174865.0,0.04792043399638346,0.057160231073274614,0.19156956819739568,0.03488113460886945,2542040617.6,2020
2020-05-27,u2,2230,0.9927137328501127,1,1,31.0,708397168.0,31.55,31.55,30.85,223193.0,-0.015873015873015928,-0.07710628163143807,-0.06174334140435833,0.020770090160461364,980701224.8,2020
2020-05-27,u2,1,0.9344416451191666,2,1,10.53,630305872.0,10.58,10.72,10.49,482963.0,-0.0037842951750237663,-0.04619565217391308,-0.02228412256267409,0.01981509161495757,973156999.2,2020
2020-05-27,u2,300750,0.9222361696901799,3,1,70.36,2763780112.0,69.5,72.3,69.47,181049.0,0.011791774518262743,0.017792564733111638,0.18550968828980618,0.03484103609003371,2567052488.0,2020
2020-05-27,u2,600000,0.7034004732163651,4,1,7.81,208419130.0,7.74,7.84,7.71,201457.0,0.010349288486416475,-0.007623888182973326,0.03856382978723394,0.01561537883317072,237222873.8,2020
2020-05-28,u2,300750,0.995190589099836,1,1,68.32,2553996976.0,69.52,70.02,65.91,174247.0,-0.028993746446844937,0.0030832476875641834,0.1277649389237372,0.035731280767755905,2598052587.2,2020
2020-05-28,u2,2230,0.9579757848857346,2,1,31.06,648539200.0,31.29,31.56,30.7,204061.0,0.001935483870967758,-0.03450419645632585,-0.03239875389408109,0.01990188550089766,939981456.8,2020
2020-05-28,u2,600000,0.2632615037536222,3,1,7.99,401358592.0,7.82,8.01,7.82,382632.0,0.023047375160051287,0.025673940949935803,0.024358974358974494,0.014188013493115135,231278603.4,2020
2020-05-28,u2,1,0.242736416115093,4,1,10.81,1255226992.0,10.61,10.92,10.55,960760.0,0.026590693257360076,-0.010978956999085021,-0.019945602901178527,0.019985118078555054,972727861.6,2020
2020-05-29,u2,300750,0.9931809618290784,1,1,67.04,2060033600.0,67.86,68.32,66.47,141428.0,-0.01873536299765788,0.023042881123149783,0.06378927324658834,0.03523945173096798,2545254399.2,2020
2020-05-29,u2,2230,0.926656186209978,2,1,31.25,612902688.0,30.81,31.5,30.78,191645.0,0.006117192530586069,-0.014195583596214534,-0.02526512788521529,0.01997398355880738,900380572.0,2020
2020-05-29,u2,1,0.8216069526796265,3,1,10.74,594502128.0,10.75,10.78,10.66,457808.0,-0.00647548566142464,0.02775119617224897,-0.028054298642533948,0.020013619485044352,950517064.0,2020
