date,ret,n_trades,cash_weight,n_signals,equity
2021-04-21,0.00280373831775702,1,0.7,1,0.45240319504252924
2021-04-22,-0.0052083333333333304,1,0.7,1,0.4500469284016827
2021-04-23,0.0,1,0.7,1,0.4500469284016827
2021-04-26,-0.00525522738671751,2,0.4,2,0.4476818294582381
2021-04-27,-0.0010765550239233898,1,0.7,1,0.4471998753356156
2021-04-28,-0.00095725493989062,2,0.4,2,0.44677179104583215
2021-04-29,0.00260869565217387,1,0.7,1,0.44793728267464733
2021-04-30,-0.01715749705699506,3,0.10000000000000009,3,0.4402518000654387
2021-05-06,-0.00392767992808821,2,0.4,2,0.43852263190701696
2021-05-07,-0.01034680876399143,2,0.4,2,0.43398532209599283
2021-05-10,-0.004273277374373099,3,0.10000000000000009,3,0.43213078243827
2021-05-11,-0.0008380149812734195,2,0.4,2,0.4317686503687173
2021-05-12,0.0002820874471086,1,0.7,1,0.43189044688504136
2021-05-13,-0.0078639833433054,2,0.4,2,0.4284940676046047
2021-05-14,0.00619894281595386,1,0.7,1,0.4311502778266611
2021-05-17,0.003954802259887019,1,0.7,1,0.43285539191976086
2021-05-19,-0.014653922032506778,3,0.10000000000000009,3,0.4265123627552185
2021-05-21,-0.013088811092657911,3,0.10000000000000009,3,0.42092982301043225
2021-05-24,0.0,1,0.7,1,0.42092982301043225
2021-05-27,-0.0021403091557669496,1,0.7,1,0.4200289030563077
2021-05-31,-0.00285374554102257,1,0.7,1,0.41883024744711017
2021-06-01,-0.01150788910809768,3,0.10000000000000009,3,0.41401039540437173
2021-06-02,-0.00427921731218706,2,0.4,2,0.41223875495293194
2021-06-03,-0.00928497357779874,2,0.4,2,0.4084111290054493
2021-06-04,0.00072152551108056,1,0.7,1,0.40870580805403595
2021-06-07,0.0009588254011128903,2,0.4,2,0.4090976855643805
2021-06-08,-0.00354969574036506,1,0.7,1,0.4076455132525394
2021-06-09,0.00148819705781727,1,0.7,1,0.40825217010599424
2021-06-10,-0.005981391227292839,1,0.7,1,0.405810254157199
2021-06-11,-0.018,2,0.4,2,0.39850566958236944
2021-06-15,0.00246891480499314,3,0.10000000000000009,3,0.3994895461298751
2021-06-16,-0.0043520514126729306,2,0.4,2,0.3977509470862925
2021-06-17,-0.00226628895184137,1,0.7,1,0.3968495285093264
2021-06-18,-0.0064224548049476695,1,0.7,1,0.3943007803481105
2021-06-21,-0.00714632960622264,1,0.7,1,0.3914829770077521
2021-06-23,-0.00306698647660161,2,0.4,2,0.39028230401144953
2021-06-24,-0.00915582931350435,2,0.4,2,0.3867089458518395
2021-06-25,-4.769475357708e-05,1,0.7,1,0.38669050186396103
2021-06-28,-0.004789825772891431,2,0.4,2,0.3848383217320007
2021-06-29,-0.00892398140552358,2,0.4,2,0.38140403170473147
2021-06-30,0.00414610069101675,1,0.7,1,0.38298537122413906
2021-07-01,-0.009,1,0.7,1,0.3795385028831218
2021-07-02,-0.018,2,0.4,2,0.3727068098312256
2021-07-05,0.014397450121955611,2,0.4,2,0.37807283753588394
2021-07-06,0.0044662600235307005,2,0.4,2,0.3797614091361533
2021-07-07,-0.0012043315985911796,2,0.4,2,0.3793040504712051
2021-07-08,-0.00754572173291622,3,0.10000000000000009,3,0.37644192765418133
2021-07-09,-0.012705609881626318,2,0.4,2,0.3716590033783199
2021-07-12,0.0008869117282737603,2,0.4,2,0.3719886321073347
2021-07-13,-0.0012627679702184999,2,0.4,2,0.37151889677742417
2021-07-14,-0.01639830398274141,3,0.10000000000000009,3,0.3654266169727352
2021-07-15,0.01695109805288571,2,0.4,2,0.3716209993881744
2021-07-16,-0.006419538250381799,2,0.4,2,0.3692353641679569
2021-07-19,0.0015015679478450703,2,0.4,2,0.36978979615600244
2021-07-20,-0.018,2,0.4,2,0.3631335798251944
2021-07-21,0.00761245981133013,2,0.4,2,0.36589791960775814
2021-07-22,-0.00114316820903649,1,0.7,1,0.36547963673830997
2021-07-23,-0.013590163934426249,2,0.4,2,0.3605127085603418
2021-07-26,-0.01642004973627102,3,0.10000000000000009,3,0.3545930719552232
2021-07-27,-0.025233502538071016,3,0.10000000000000009,3,0.3456454467740587
2021-07-28,0.0017328536390929803,3,0.10000000000000009,3,0.346244399744337
2021-07-29,0.00861788494291005,3,0.10000000000000009,3,0.3492282941434607
2021-07-30,-0.013144090899375838,3,0.10000000000000009,3,0.34463800570060504
2021-08-02,0.01784487455967363,3,0.10000000000000009,3,0.3507880276808284
2021-08-03,-0.006218860491068909,3,0.10000000000000009,3,0.3486065258747441
2021-08-04,-0.0024591295625211,3,0.10000000000000009,3,0.34774925726127776
2021-08-05,-0.01226777511104355,3,0.10000000000000009,3,0.34348314757816395
2021-08-06,0.0011995710759519001,2,0.4,2,0.3438951800270756
2021-08-09,0.016356890459363938,2,0.4,2,0.34952023581628167
2021-08-10,0.01530165906364494,2,0.4,2,0.3548684753005872
2021-08-11,-0.0032766860598750897,2,0.4,2,0.3537056827144806
2021-08-12,-0.0005728694117313599,2,0.4,2,0.3535030555480979
2021-08-13,-0.009,2,0.4,2,0.350321528048165
2021-08-16,-0.004349465839397189,2,0.4,2,0.34879781652911407
2021-08-17,-0.01370061555679911,2,0.4,2,0.3440190717377977
2021-08-18,0.01667187128837073,2,0.4,2,0.34975451342255504
2021-08-19,-0.00365518842805617,3,0.10000000000000009,3,0.3484760947724325
2021-08-20,-0.013038461538461549,2,0.4,2,0.34393250261366887
2021-08-23,0.00739755964305225,2,0.4,2,0.3464767638149377
2021-08-24,-0.00252613240418115,2,0.4,2,0.3456015176345689
2021-08-25,0.0010601931535665896,2,0.4,2,0.3459679219974273
2021-08-26,-0.0087174076865109,2,0.4,2,0.34295197857492077
2021-08-27,-0.0063639259291433095,2,0.4,2,0.34076945758601684
2021-08-30,-0.02170882828197042,3,0.10000000000000009,3,0.3333717519475418
2021-08-31,0.00468382700974095,2,0.4,2,0.33493320756359835
2021-09-01,-0.0017630092607550597,2,0.4,2,0.3343427172169293
2021-09-02,0.0008734177215189605,2,0.4,2,0.3346347380712074
2021-09-03,-0.00975964101652737,2,0.4,2,0.33136882315597277
2021-09-06,0.007706766917293259,1,0.7,1,0.3339226054396936
2021-09-07,0.01441949589776013,2,0.4,2,0.33873760107900064
2021-09-08,0.00139707468933153,2,0.4,2,0.33921084280779296
2021-09-09,-0.007440312032148629,2,0.4,2,0.33668700829261483
2021-09-10,0.018,1,0.7,1,0.3427473744418819
2021-09-13,-0.00758147086253694,2,0.4,2,0.34014884520933975
2021-09-14,-0.02024451869634435,3,0.10000000000000009,3,0.33326269555295934
2021-09-15,0.0009400168009352699,3,0.10000000000000009,3,0.3335759680859041
2021-09-16,-0.01480034705228238,3,0.10000000000000009,3,0.32863892798993166
2021-09-17,-0.004506240807289259,3,0.10000000000000009,3,0.32715800184175964
2021-09-22,-0.01184051899691628,3,0.10000000000000009,3,0.3232842813059591
2021-09-23,-0.00566037735849054,2,0.4,2,0.321454370279699
2021-09-24,-0.006742455035057399,2,0.4,2,0.3192869786422654
2021-09-27,0.0043222003929273,2,0.4,2,0.32066700094680956
2021-09-28,0.00774693350548743,1,0.7,1,0.32315118688054856
2021-09-29,0.00339836375078661,1,0.7,1,0.3242493721600671
2021-09-30,-0.006937220415399599,2,0.4,2,0.3219999827958378
2021-10-08,0.0134384858044164,1,0.7,1,0.326327174993662
2021-10-11,0.01376811594202902,1,0.7,1,0.33082008537400953
2021-10-12,-0.00086605080831408,1,0.7,1,0.33053357837166486
2021-10-13,0.00399536768963517,1,0.7,1,0.3318541815510305
2021-10-14,-0.00634285714285716,1,0.7,1,0.32974927788519254
2021-10-15,0.007880910683012249,1,0.7,1,0.33234800249199353
2021-10-18,-0.01087693984805805,2,0.4,2,0.32873307326026585
2021-10-19,0.00488088320743749,1,0.7,1,0.3303375809972712
2021-10-20,-0.00984564521563338,2,0.4,2,0.3270851943733815
2021-10-21,0.00734443824426852,2,0.4,2,0.3294874513840714
2021-10-22,0.00066964285714281,1,0.7,1,0.32970809030240894
2021-10-25,-0.00198203231277606,2,0.4,2,0.32905459821364585
2021-10-27,-0.009,1,0.7,1,0.32609310682972303
2021-11-01,-0.01071790369419873,2,0.4,2,0.32259807231538
2021-11-02,-0.02025522083000082,3,0.10000000000000009,3,0.3160637771212994
2021-11-03,-0.00321875986945995,2,0.4,2,0.31504644371931145
2021-11-04,-0.00385806068291559,2,0.4,2,0.31383097542150556
2021-11-05,-0.00351879050840145,2,0.4,2,0.31272666996395
2021-11-08,-0.00593895783261762,2,0.4,2,0.31086939945789915
2021-11-09,0.00215123859191652,1,0.7,1,0.3115381537070589
2021-11-10,-0.0050666447260161,2,0.4,2,0.3099597005636262
2021-11-11,0.018,1,0.7,1,0.3155389751737715
2021-11-12,-0.0047735098962945,2,0.4,2,0.3140327467531129
2021-11-15,0.00296479308214944,1,0.7,1,0.3149637888682549
2021-11-16,-0.007460739764838329,2,0.4,2,0.3126139260041614
2021-11-17,-0.0020446096654274997,1,0.7,1,0.311974752549506
2021-11-18,-0.01356598119699891,3,0.10000000000000009,3,0.307742508922481
2021-11-19,0.006679389312977099,1,0.7,1,0.30979804094772656
2021-11-22,-0.00264628065841983,2,0.4,2,0.3089782283839502
2021-11-23,-0.00448877805486282,1,0.7,1,0.30759129369294996
2021-11-24,-0.009189873417721529,2,0.4,2,0.30476456863951856
2021-11-25,-0.006126749997141211,2,0.4,2,0.3028973523194776
2021-11-26,-0.006369245059179299,3,0.10000000000000009,3,0.3009681248547783
2021-11-29,-0.006560672196847439,2,0.4,2,0.2989935716459063
2021-11-30,0.0007243051558863899,2,0.4,2,0.2992101342314263
2021-12-01,0.00390625000000002,1,0.7,1,0.3003789238182678
2021-12-02,-0.006540218461214969,2,0.4,2,0.2984143800353517
2021-12-03,0.0032628143133462597,2,0.4,2,0.29938805074583935
2021-12-06,0.00404385105686745,2,0.4,2,0.3005987314312614
2021-12-07,0.004621229194166309,2,0.4,2,0.30198786706468095
2021-12-08,0.00704116968064641,1,0.7,1,0.3041142148781799
2021-12-09,0.00270676691729319,1,0.7,1,0.30493738117409075
2021-12-10,-0.007341001899207479,2,0.4,2,0.3026988352797524
2021-12-13,-0.00694930047921573,2,0.4,2,0.30059529011868474
2021-12-14,-0.01233796940194716,2,0.4,2,0.29688655462683095
2021-12-15,-0.00046926591495650993,2,0.4,2,0.29674723588613566
2021-12-16,0.0005132555327396699,2,0.4,2,0.2968995430467794
2021-12-17,-0.01355791012056993,3,0.10000000000000009,3,0.2928742057273129
2021-12-20,-0.00317083964027244,2,0.4,2,0.2919455485861794
2021-12-21,-0.0009170470153302302,2,0.4,2,0.2916778207922095
2021-12-22,-0.0041038122163749,2,0.4,2,0.29048082978799683
2021-12-23,-0.00413907155296911,2,0.4,2,0.28927850884873846
2021-12-24,0.0011700275777731198,2,0.4,2,0.2896169726817486
2021-12-27,-0.00177281680892973,1,0.7,1,0.289103534844427
2021-12-28,-0.00099075297225891,1,0.7,1,0.2888171046579893
2021-12-29,-0.01210576914102237,2,0.4,2,0.2853207514650212
2021-12-30,0.0014314928425357499,1,0.7,1,0.28572918607857034
2021-12-31,-0.006919945725915869,1,0.7,1,0.2837519556185965
2022-01-04,0.00374999999999997,1,0.7,1,0.2848160254521662
2022-01-05,0.01008230452674897,1,0.7,1,0.2876876273548733
2022-01-06,-0.00959721300597213,2,0.4,2,0.28492662791596585
2022-01-07,-0.00668991323984337,2,0.4,2,0.2830204934954869
2022-01-10,0.0019318368451052398,2,0.4,2,0.2835672429127414
2022-01-11,-0.001494239663899049,2,0.4,2,0.28314352549099864
2022-01-12,-0.010180869846327179,2,0.4,2,0.28026087811014455
2022-01-13,-0.009402144772117949,2,0.4,2,0.27762582476019204
2022-01-14,-0.01623485585856621,3,0.10000000000000009,3,0.27311860951259476
2022-01-17,0.00440689960194609,2,0.4,2,0.2743222158041399
2022-01-18,0.012687366885115379,2,0.4,2,0.2778026424007848
2022-01-19,-0.0028922926511325,2,0.4,2,0.2769991558597038
2022-01-20,0.01726768377253812,1,0.7,1,0.2817822896883492
2022-01-21,-0.00409440279570702,2,0.4,2,0.28062855949366844
2022-01-24,-0.0002260098650363699,2,0.4,2,0.2805651346708119
2022-01-25,-0.021338635315813766,3,0.10000000000000009,3,0.27457825757973925
2022-01-26,-0.0028883753789997,2,0.4,2,0.2737851725009373
2022-01-27,-0.02126988002050335,3,0.10000000000000009,3,0.26796179473044957
