top_k,min_prob,min_price,max_price,min_amount,position_weight,stop_loss,take_profit,n_years,n_days,total_return,ann_return_overall,ann_return_mean,ann_vol_mean,sharpe_mean,max_drawdown_min,win_ratio_mean
4,0.55,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1216,-0.9650153899042563,-0.5008424140990435,-0.500616654912407,0.13007848976244096,-3.8333422774907664,-0.5674173891007845,0.35660352170157056
3,0.55,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1216,-0.9650153899042563,-0.5008424140990435,-0.500616654912407,0.13007848976244096,-3.8333422774907664,-0.5674173891007845,0.35660352170157056
3,0.6,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1216,-0.9650153899042563,-0.5008424140990435,-0.500616654912407,0.13007848976244096,-3.8333422774907664,-0.5674173891007845,0.35660352170157056
4,0.6,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1216,-0.9650153899042563,-0.5008424140990435,-0.500616654912407,0.13007848976244096,-3.8333422774907664,-0.5674173891007845,0.35660352170157056
4,0.65,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1202,-0.9640416789609125,-0.5020078414929637,-0.5041465705127423,0.13528744753253097,-3.7975772899083284,-0.5707715674977896,0.3481693829431147
2,0.65,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1202,-0.9640416789609125,-0.5020078414929637,-0.5041465705127423,0.13528744753253097,-3.7975772899083284,-0.5707715674977896,0.3481693829431147
3,0.65,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1202,-0.9640416789609125,-0.5020078414929637,-0.5041465705127423,0.13528744753253097,-3.7975772899083284,-0.5707715674977896,0.3481693829431147
3,0.55,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1216,-0.9656005420560092,-0.5025842015272233,-0.5043507762606028,0.1338464064462674,-3.811306327784534,-0.5733549909039126,0.35240128064277165
2,0.6,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1216,-0.9656005420560092,-0.5025842015272233,-0.5043507762606028,0.1338464064462674,-3.811306327784534,-0.5733549909039126,0.35240128064277165
4,0.6,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1216,-0.9656005420560092,-0.5025842015272233,-0.5043507762606028,0.1338464064462674,-3.811306327784534,-0.5733549909039126,0.35240128064277165
2,0.55,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1216,-0.9656005420560092,-0.5025842015272233,-0.5043507762606028,0.1338464064462674,-3.811306327784534,-0.5733549909039126,0.35240128064277165
3,0.6,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1216,-0.9656005420560092,-0.5025842015272233,-0.5043507762606028,0.1338464064462674,-3.811306327784534,-0.5733549909039126,0.35240128064277165
4,0.55,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1216,-0.9656005420560092,-0.5025842015272233,-0.5043507762606028,0.1338464064462674,-3.811306327784534,-0.5733549909039126,0.35240128064277165
3,0.65,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1202,-0.9654175043229793,-0.5060643428597494,-0.5065442179679113,0.12786509331332377,-3.9581109091956894,-0.5590343232192864,0.3520547018425888
4,0.65,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1202,-0.9654175043229793,-0.5060643428597494,-0.5065442179679113,0.12786509331332377,-3.9581109091956894,-0.5590343232192864,0.3520547018425888
4,0.65,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1202,-0.9664805797015348,-0.5092870127256532,-0.5115708539262437,0.13284875764568904,-3.904393587064215,-0.5714464891914162,0.3481693829431147
3,0.65,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1202,-0.9664805797015348,-0.5092870127256532,-0.5115708539262437,0.13284875764568904,-3.904393587064215,-0.5714464891914162,0.3481693829431147
2,0.65,3.0,80.0,20000000.0,0.35,0.03,0.06,6,1202,-0.9664805797015348,-0.5092870127256532,-0.5115708539262437,0.13284875764568904,-3.904393587064215,-0.5714464891914162,0.3481693829431147
2,0.6,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1216,-0.9683167171648701,-0.5109910818149025,-0.5117099926634451,0.1291742814067903,-3.9984759592440944,-0.5720664673055647,0.34947707902676545
2,0.55,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1216,-0.9683167171648701,-0.5109910818149025,-0.5117099926634451,0.1291742814067903,-3.9984759592440944,-0.5720664673055647,0.34947707902676545
2,0.55,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1216,-0.9701737188127665,-0.5170738350003217,-0.5178046784353909,0.12724286413812133,-4.09498873711269,-0.572644824970997,0.34947707902676545
2,0.6,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1216,-0.9701737188127665,-0.5170738350003217,-0.5178046784353909,0.12724286413812133,-4.09498873711269,-0.572644824970997,0.34947707902676545
2,0.65,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1202,-0.9689696771350748,-0.5171612484884041,-0.5184937832434784,0.12847969194778908,-4.0807267977223685,-0.569805788790656,0.3466746146322029
2,0.65,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1202,-0.9707884078832355,-0.5232367628216783,-0.5245737178437767,0.12652469073800063,-4.17870648647109,-0.5703872017921365,0.3466746146322029
4,0.6,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1216,-0.9806090550267674,-0.5582999799812451,-0.5556571854136043,0.1460092129538544,-3.7926445614614015,-0.6177542011632522,0.35367932008556435
4,0.55,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1216,-0.9806090550267674,-0.5582999799812451,-0.5556571854136043,0.1460092129538544,-3.7926445614614015,-0.6177542011632522,0.35367932008556435
3,0.55,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1216,-0.9806090550267674,-0.5582999799812451,-0.5556571854136043,0.1460092129538544,-3.7926445614614015,-0.6177542011632522,0.35367932008556435
3,0.6,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1216,-0.9806090550267674,-0.5582999799812451,-0.5556571854136043,0.1460092129538544,-3.7926445614614015,-0.6177542011632522,0.35367932008556435
