trade_date,code,rank,u1_score,ret_1
2022-05-10,2,3,0.0036612132031066,
2022-05-11,0,1,0.0063359452677659,
2022-05-11,1,2,0.0038307406760168,0.003197442046362964
2022-05-11,2,3,0.001680561317633,
2022-05-12,0,1,0.0016600899017917,
2022-05-12,1,2,-0.0088265058046556,-0.019920318725099584
2022-05-12,2,3,-0.0192366247054846,
2022-05-13,0,1,0.0375895558648495,
2022-05-13,1,2,0.022838928353886,0.018699186991869787
2022-05-13,2,3,-0.007959591285506,
2022-05-16,0,1,-0.0135176489925072,
2022-05-16,1,2,-0.014856956767177,-0.01596169193934549
2022-05-16,2,3,-0.015845597480836,
2022-05-17,0,1,0.03755675242274,
2022-05-17,1,2,0.0143250971283509,0.024330900243308973
2022-05-17,2,3,0.0076340667256057,
2022-05-18,0,1,0.0058261109670114,
2022-05-18,1,2,0.0037542088464156,0.003167062549485289
2022-05-18,2,3,-0.0116191372496039,
2022-05-19,0,1,-0.0064861390288878,
2022-05-19,1,2,-0.0103019558649289,-0.010260457774269982
2022-05-19,2,3,-0.01481201416015,
2022-05-20,0,1,0.037758403302973,
2022-05-20,1,2,0.0272187770158901,0.03189792663476876
2022-05-20,2,3,0.0144569102817911,
2022-05-23,0,1,0.0154599658357271,
2022-05-23,1,2,-0.0147620205669247,-0.014683153013910322
2022-05-23,2,3,-0.015483204973515,
2022-05-24,0,1,-0.0121947746084224,
2022-05-24,1,2,-0.0368548828042323,-0.0337254901960784
2022-05-24,2,3,-0.0368548828042323,
2022-05-25,0,1,0.0032228210972451,
2022-05-25,1,2,-0.000205823011037,-0.0008116883116883189
2022-05-25,2,3,-0.0008108416313538,
2022-05-26,0,1,0.0065608525774409,
2022-05-26,1,2,0.0036771146301947,-0.01624695369618201
2022-05-26,2,3,-0.0158052140949867,
2022-05-27,0,1,0.0129039074724225,
2022-05-27,1,2,-0.0008653835625532,-0.0008257638315442017
2022-05-27,2,3,-0.002970203241314,
2022-05-30,0,1,0.0368646597026238,
2022-05-30,1,2,-0.0078981129186379,-0.008264462809917328
2022-05-30,2,3,-0.0163836051453937,
2022-05-31,0,1,0.0131575247470728,
2022-05-31,1,2,0.0116671628504729,0.006666666666666599
2022-05-31,2,3,0.0069215239718951,
2022-06-01,0,1,0.0040065358003782,
2022-06-01,1,2,-0.005228706959586,-0.0066225165562914245
2022-06-01,2,3,-0.0067753030724547,
2022-06-02,0,1,0.0130707407958392,
2022-06-02,1,2,-0.0029739100105342,-0.010833333333333361
2022-06-02,2,3,-0.0123257578592348,
2022-06-06,0,1,0.0368641453475634,
2022-06-06,1,2,0.0216044399728628,0.018534119629317614
2022-06-06,2,3,-0.0051722035839896,
2022-06-07,0,1,0.0038647765273471,
2022-06-07,1,2,-0.0007801801278443,-0.0008271298593879317
2022-06-07,2,3,-0.0160996675007944,
2022-06-08,0,1,0.0137052436996783,
2022-06-08,1,2,-0.0002979997081065,0.0
2022-06-08,2,3,-0.0029050851033136,
2022-06-09,0,1,0.0135306022072286,
2022-06-09,1,2,0.0133482758448895,0.01572847682119205
2022-06-09,2,3,-0.0376285748507646,
2022-06-10,0,1,0.0129110726883768,
2022-06-10,1,2,-0.0026382204438625,-0.0024449877750610804
2022-06-10,2,3,-0.0028976574440596,
2022-06-13,0,1,0.0034527328617971,
2022-06-13,1,2,-0.0365905811144812,-0.03349673202614378
2022-06-13,2,3,-0.0368181745200335,
2022-06-14,0,1,0.0163313649399845,
2022-06-14,1,2,0.0135101890233396,0.017751479289940697
2022-06-14,2,3,0.0018792593372199,
2022-06-15,0,1,0.0368419545756234,
2022-06-15,1,2,0.0368419545756234,0.05149501661129574
2022-06-15,2,3,0.0127818846391157,
2022-06-16,0,1,0.0052537345158913,
2022-06-16,1,2,-0.0157700105833974,-0.023696682464455
2022-06-16,2,3,-0.0327573582591237,
2022-06-17,0,1,0.0076792977133747,
2022-06-17,1,2,0.00180189078321,0.0008090614886731018
2022-06-17,2,3,0.0009827419461624,
2022-06-20,0,1,0.0361362443020324,
2022-06-20,1,2,-0.0089675337702947,-0.008892481810832575
2022-06-20,2,3,-0.0093424770071522,
2022-06-21,0,1,0.0107447687022682,
2022-06-21,1,2,0.0063576481119857,0.002446982055464897
2022-06-21,2,3,0.0034821317876275,
2022-06-22,0,1,-0.007356366248695,
2022-06-22,1,2,-0.0335578037715473,-0.02359641985353944
2022-06-22,2,3,-0.0371513176626827,
2022-06-23,0,1,0.0119437450249612,
2022-06-23,1,2,0.0074316825614669,0.010000000000000009
2022-06-23,2,3,0.0049148046193798,
2022-06-24,0,1,0.0101795098077676,
2022-06-24,1,2,0.0031271162881214,0.0024752475247524774
2022-06-24,2,3,-0.0028328366279889,
2022-06-27,0,1,0.0351473540034817,
2022-06-27,1,2,0.0047151827980578,0.02139917695473259
2022-06-27,2,3,0.0037138867306736,
2022-06-28,0,1,0.0367961958636071,
2022-06-28,1,2,0.0130308110872329,0.011281224818694646
2022-06-28,2,3,0.0128872964103378,
2022-06-29,0,1,0.0019688919460103,
2022-06-29,1,2,0.0013396279697453,0.0007968127490038945
2022-06-29,2,3,-0.0377053496979258,
2022-06-30,0,1,0.0361526423297907,
2022-06-30,1,2,-0.0063859971588643,0.027070063694267565
2022-06-30,2,3,-0.0089591713487375,
2022-07-01,0,1,-0.0013154441509363,
2022-07-01,1,2,-0.0030553195993802,-0.0046511627906976605
2022-07-01,2,3,-0.0048622321874744,
2022-07-04,0,1,0.03607091228896,
2022-07-04,1,2,0.0018060086732955,0.0015576323987538387
2022-07-04,2,3,-0.0047936680201197,
2022-07-05,0,1,0.0360327206323052,
2022-07-05,1,2,0.0035101360719356,-0.00233281493001547
2022-07-05,2,3,-0.0029283311846568,
2022-07-06,0,1,-0.0046950031976287,
2022-07-06,1,2,-0.0140610380169967,-0.029618082618862118
2022-07-06,2,3,-0.036738975583308,
