trade_date,code,rank,u1_score,ret_1
2020-09-23,1,2,0.0017083599337191,0.00450788880540931
2020-09-23,2,3,-0.0095114198706989,
2020-09-24,0,1,-0.015054376480838,
2020-09-24,1,2,-0.0154272360816778,-0.03814510097232604
2020-09-24,2,3,-0.0400040322944493,
2020-09-25,0,1,0.0046277664006681,
2020-09-25,1,2,0.0021588483707142,0.005443234836703059
2020-09-25,2,3,-0.0037236315524083,
2020-09-28,0,1,0.0096076568470482,
2020-09-28,1,2,-0.0017320260481283,0.009280742459396807
2020-09-28,2,3,-0.0150027349456229,
2020-09-29,0,1,0.0160901001277512,
2020-09-29,1,2,-0.0038745095257776,-0.039080459770115095
2020-09-29,2,3,-0.0400697279768564,
2020-09-30,0,1,0.0429340629160351,
2020-09-30,1,2,-0.0047254104047625,0.029505582137161257
2020-09-30,2,3,-0.0063138602365041,
2020-10-09,0,1,0.0434912263203577,
2020-10-09,1,2,0.0037609739974444,0.0007745933384972759
2020-10-09,2,3,0.0017567695617765,
2020-10-12,0,1,0.0435904893092715,
2020-10-12,1,2,0.0198274193245571,0.05572755417956654
2020-10-12,2,3,0.0180357235116723,
2020-10-13,0,1,0.0172467425465661,
2020-10-13,1,2,0.0145392095409848,0.011730205278592365
2020-10-13,2,3,-0.0063983069125926,
2020-10-14,0,1,-0.0020886446755782,
2020-10-14,1,2,-0.0030782996269476,-0.0021739130434783593
2020-10-14,2,3,-0.0062806735826136,
2020-10-15,0,1,0.0444692642937912,
2020-10-15,1,2,0.0146137605655694,0.038489469862019066
2020-10-15,2,3,-0.0154194658996724,
2020-10-16,0,1,0.0445635501116264,
2020-10-16,1,2,0.0160597284565067,0.03776223776223775
2020-10-16,2,3,-0.0062815834200582,
2020-10-19,0,1,0.0235550315429144,
2020-10-19,1,2,-0.0079542543482128,0.025606469002695365
2020-10-19,2,3,-0.0098525748470979,
2020-10-20,0,1,0.0067484613996885,
2020-10-20,1,2,0.0039335641465234,0.003942181340341522
2020-10-20,2,3,-0.0096533190930967,
2020-10-21,0,1,0.0206309400718867,
2020-10-21,1,2,0.0175917141994778,0.024214659685863893
2020-10-21,2,3,-0.0284407196413045,
2020-10-22,0,1,-0.0011885639092054,
2020-10-22,1,2,-0.006358600083664,-0.022364217252396124
2020-10-22,2,3,-0.0247580813006199,
2020-10-23,0,1,0.0449568019529758,
2020-10-23,1,2,0.0062401214074477,0.03725490196078418
2020-10-23,2,3,0.0003663013906193,
2020-10-26,0,1,0.0180114550349826,
2020-10-26,1,2,-0.0146137770059824,-0.027095148078134845
2020-10-26,2,3,-0.0394216090232574,
2020-10-27,0,1,0.0186714746705939,
2020-10-27,1,2,0.0039083079246708,0.0038860103626943143
2020-10-27,2,3,-0.015589631209278,
2020-10-28,0,1,0.0450065678994707,
2020-10-28,1,2,-0.0086794026893037,-0.008387096774193581
2020-10-28,2,3,-0.0107435651353207,
2020-10-29,0,1,0.0103135325847724,
2020-10-29,1,2,0.0033579449262831,0.009108653220559537
2020-10-29,2,3,-0.0037771094295787,
2020-10-30,0,1,-0.0020288856093223,
2020-10-30,1,2,-0.0031583616478657,-0.0012894906511927706
2020-10-30,2,3,-0.0154290456569363,
2020-11-02,0,1,0.0452308572780456,
2020-11-02,1,2,-0.0021403691673423,-0.007746933505487497
2020-11-02,2,3,-0.0080696267808951,
2020-11-03,0,1,0.0192757052307726,
2020-11-03,1,2,0.0069070903570409,0.021470396877033116
