trade_date,code,ret
2020-08-27,600000.0,-0.0023724792408066353
2020-08-28,1.0,0.05491803278688523
2020-08-28,2230.0,0.007366984993178782
2020-08-28,600000.0,0.013079667063020217
2020-08-31,1.0,-0.0038850038850037905
2020-08-31,2230.0,0.004604550379198269
2020-08-31,600000.0,-0.011737089201877882
2020-09-01,1.0,0.004680187207488418
2020-09-01,2230.0,0.01806416823941759
2020-09-01,600000.0,-0.008313539192399078
2020-09-02,1.0,0.013975155279503104
2020-09-02,2230.0,-0.005031779661016866
2020-09-02,600000.0,-0.013173652694610682
2020-09-03,1.0,-0.03215926493108723
2020-09-03,2230.0,-0.025019962736225643
2020-09-03,600000.0,-0.00728155339805836
2020-09-04,1.0,0.004746835443037778
2020-09-04,2230.0,-0.006825006825006863
2020-09-04,600000.0,-0.006112469437652646
